,discipline,MUST,PARCOACH-dynamic,PARCOACH-static
021-MPI-hybrid-section-barrier-origin-remote-yes.c,hybrid,FN,TO,-
022-MPI-hybrid-section-sendrecv-origin-remote-yes.c,hybrid,FN,TO,-
001-MPI-misc-put-load-deep-nesting-local.c,misc,TN,TN,TN
002-MPI-misc-put-load-aliasing-local.c,misc,TN,TN,TN
003-MPI-misc-put-load-retval-local.c,misc,TN,TN,TN
004-MPI-misc-put-load-memcpy-local.c,misc,TN,TN,TN
005-MPI-misc-put-store-deep-nesting-local.c,misc,TP,FN,FN
006-MPI-misc-put-store-aliasing-local.c,misc,TP,TP,TP
007-MPI-misc-put-store-retval-local.c,misc,TP,TP,TP
008-MPI-misc-put-store-memcpy-local.c,misc,TP,TP,TP
009-MPI-misc-put-put-deep-nesting-local.c,misc,TN,TN,TN
010-MPI-misc-put-put-aliasing-local.c,misc,TN,TN,TN
011-MPI-misc-put-put-retval-local.c,misc,TN,TN,TN
012-MPI-misc-put-put-memcpy-local.c,misc,TN,TN,TN
013-MPI-misc-get-load-deep-nesting-local.c,misc,TP,FN,FN
014-MPI-misc-get-load-aliasing-local.c,misc,TP,TP,TP
015-MPI-misc-get-load-retval-local.c,misc,TP,TP,TP
016-MPI-misc-get-load-memcpy-local.c,misc,TP,TP,TP
017-MPI-misc-get-load-deep-nesting-remote.c,misc,TN,TN,-
018-MPI-misc-get-load-funcpointer-remote.c,misc,TN,TN,-
019-MPI-misc-get-load-aliasing-remote.c,misc,TN,TN,-
020-MPI-misc-get-load-retval-remote.c,misc,TN,TN,-
021-MPI-misc-get-load-memcpy-remote.c,misc,TN,TN,-
022-MPI-misc-get-store-deep-nesting-remote.c,misc,TP,FN,-
023-MPI-misc-get-store-funcpointer-remote.c,misc,TP,FN,-
024-MPI-misc-get-store-aliasing-remote.c,misc,TP,FN,-
025-MPI-misc-get-store-retval-remote.c,misc,TP,FN,-
026-MPI-misc-get-store-memcpy-remote.c,misc,TP,FN,-
027-MPI-misc-put-load-deep-nesting-remote.c,misc,TP,TP,-
028-MPI-misc-put-load-funcpointer-remote.c,misc,TP,FN,-
029-MPI-misc-put-load-aliasing-remote.c,misc,TP,FN,-
030-MPI-misc-put-load-retval-remote.c,misc,TP,FN,-
031-MPI-misc-put-load-memcpy-remote.c,misc,TP,FN,-
